par1,par2,par3,par4,par5,sex,year
-1.2143625103349045,0.5810076322628823,0.10805306506334994,-2.3308585542675258,2.974642365357016,female,1903
-1.2303950775776484,0.5416459425472209,0.10660241638348071,-2.37169079793371,2.9540036812380563,female,1904
-1.200480490915512,0.5685122364360269,0.11632569902137416,-2.4104706641264344,2.954829535285578,female,1905
-1.2381379986234133,0.4391678078937513,0.12409048397179484,-2.3641947661318996,2.95854645996776,female,1906
-1.1899886359237062,0.47301663690459633,0.12577103367658837,-2.4253704847995485,2.95235848063324,female,1907
-1.266189878396112,0.49711047965935706,0.10902682438841678,-2.3441893443298554,2.973314831184762,female,1908
-1.21383771724676,0.5321805641511659,0.12387994937915964,-2.3853816388897555,2.9613601238403975,female,1909
-1.2037741963597823,0.49486489373192116,0.14531432462421415,-2.30506406365593,2.9611682864214743,female,1910
-1.299347935199484,0.42115381713977507,0.13002976629823645,-2.3875916814698854,2.951153664902892,female,1911
-1.1535276528943277,0.5181265879024317,0.15824268262780566,-2.3037458472580012,2.953982941155543,female,1912
-1.1828860341948508,0.4952518678335197,0.16237971179383814,-2.3053872563761293,2.9524240767782057,female,1913
-1.1384874964277525,0.518674758061948,0.1624117874067745,-2.310350478274527,2.950649644019873,female,1914
-1.1973507687132585,0.5298232941763479,0.12987890293893803,-2.4262915224316486,2.9320684268353046,female,1915
-1.156880259001551,0.5716284968237284,0.1358546705118847,-2.390542618410721,2.9266787278153954,female,1916
-1.1480624141382882,0.5490476436494146,0.12796421654622772,-2.4616033252835208,2.907624222177829,female,1917
-1.2965646568358506,0.8372487606080203,-0.24753616693128772,-2.453073269254814,2.9481632572992895,female,1918
-1.1757360117581008,0.5655365181253246,0.05019598090960381,-2.4898797672300126,2.889632044234559,female,1919
-1.2426437177201892,0.4686499257571276,0.08980242507111066,-2.3843444561640412,2.9022188826921633,female,1920
-1.2026841479835557,0.21494403590170952,0.17818283137492788,-2.341736835556208,2.899603660086671,female,1921
-1.0723011389901993,0.46095360690952825,0.20730069757493502,-2.3853536359987473,2.9105181158291424,female,1922
